title,description,manufactured,reg_age,type_of_vehicle,category,transmission,curb_weight,power,engine_cap,no_of_owners,depreciation,coe,road_tax,dereg_value,mileage,omv,arf,price
1.054227590560913,1.2250447273254395,6.0,6.65,0,1,0,1884.0,280.0,2995.0,2,34270.0,48011,2380.0,103323.0,96000.0,88906.0,132031.0,193788.0
2.2602930068969727,1.516044020652771,7.0,6.84,1,2,0,1465.0,135.0,1991.0,2,21170.0,47002,1202.0,45179.0,85680.0,40678.0,43950.0,96800.0
-3.363787889480591,0.6907311677932739,17.0,17.12,2,3,0,1648.0,118.0,2354.0,3,12520.0,50355,2442.0,16003.0,138000.0,27994.0,30794.0,39800.0
-1.2186726331710815,-10.178918838500977,16.0,15.88,3,2,0,1195.0,80.0,1598.0,3,10140.0,27571,1113.0,12184.0,160000.0,16084.0,16084.0,44800.0
1.0123107433319092,1.6905865669250488,18.0,17.86,1,2,0,1660.0,183.0,2995.0,6,13690.0,48479,3570.0,9138.0,183000.0,50414.0,55456.0,25800.0
-1.892678141593933,1.417759895324707,16.0,15.99,4,2,1,1270.0,177.0,1997.0,6,40320.0,32121,1815.0,13614.0,176000.0,38328.0,38328.0,170888.0
0.652937114238739,-5.34368371963501,2.0,2.47,4,4,0,1450.0,470.0,5204.0,1,137430.0,87000,5834.0,483238.0,5400.0,327323.0,561182.0,1368000.0
-2.1380765438079834,0.43558236956596375,15.0,14.77,3,2,0,1264.0,89.0,1591.0,4,16545.869290231905,16184,1107.0,1481.0,187000.0,11422.0,11422.0,5350.0
2.57919979095459,1.1707109212875366,7.0,6.93,1,3,0,1465.0,135.0,1991.0,1,22520.0,49000,1202.0,49095.0,49930.0,41077.0,49508.0,102500.0
-0.12794098258018494,1.9373314380645752,16.0,15.66,4,2,0,1550.0,206.0,1998.0,4,27450.0,31933,1815.0,14540.0,227124.0,44754.0,44754.0,125000.0
2.7795748710632324,1.758639931678772,14.0,13.63,1,2,0,1500.0,115.0,1597.0,5,12970.0,39844,1039.0,26734.0,180000.0,31893.0,31893.0,87000.0
-0.7588161826133728,-3.9923882484436035,17.0,17.12,3,2,1,1260.0,70.0,1597.0,5,13130.0,44081,1113.0,14372.0,66.0,10074.0,11082.0,42800.0
1.1981972455978394,1.6468795537948608,5.0,5.42,5,1,1,2380.0,118.67483660130719,2998.0,1,14080.0,23280,534.0,11544.0,66.0,29628.0,1482.0,69800.0
3.1473095417022705,-3.9923882484436035,7.0,6.91,1,2,0,1700.0,110.0,1950.0,2,23930.0,57501,1734.0,46976.0,100000.0,46134.0,41588.0,103800.0
1.0139257907867432,1.4323583841323853,8.0,7.81,1,2,0,1425.0,100.0,1499.0,2,17210.0,50389,684.0,29459.0,82000.0,29860.0,28804.0,55999.0
0.8931561708450317,1.6121031045913696,4.0,4.13,0,2,0,1545.0,110.0,1395.0,2,20740.0,41510,624.0,51246.0,55000.0,30410.0,34574.0,143800.0
